id,lad_name,house_price,imd_score,income_score,employment_score,edu_score,health_score,crime_score,housing_barriers_score,living_envir_score,income_decile,employment_decile,edu_decile,health_decile,crime_decile,housing_barriers_decile,living_envir_decile
E06000001,Hartlepool,117531.8421,34.85312069,0.226241379,0.182017241,29.52022414,0.874189655,0.582344828,13.76434483,7.298431034,3.482758621,3.068965517,4.517241379,2.637931034,3.551724138,7.75862069,8.689655172
E06000002,Middlesbrough,114931.7089,40.44311628,0.251325581,0.190604651,38.78923256,1.192069767,0.680523256,14.2067907,12.53354651,3.337209302,2.965116279,3.860465116,2.151162791,3.453488372,7.651162791,7.441860465
E06000003,Redcar and Cleveland,124971.747,29.84132955,0.185534091,0.162909091,27.74535227,0.807034091,0.152227273,14.02064773,7.613875,4.318181818,3.352272727,4.715909091,2.75,4.931818182,7.556818182,8.670454545
E06000004,Stockton-on-Tees,140786.5294,25.24410833,0.161016667,0.1327,24.19915833,0.67,-0.1372,15.71714167,5.607358333,5.025,4.475,5.45,3.391666667,6.041666667,7.166666667,9.15
E06000005,Darlington,136774.2656,26.787,0.16,0.131476923,28.38163077,0.582630769,0.579523077,11.43829231,9.204384615,4.738461538,4.353846154,4.738461538,3.461538462,3.6,8.415384615,8.138461538
E06000006,Halton,144973.0921,32.87568354,0.188088608,0.161936709,30.1808481,0.967607595,0.261265823,16.36201266,19.82306329,4.17721519,3.367088608,4.164556962,2.46835443,4.506329114,6.886075949,5.721518987
E06000007,Warrington,200399.0709,18.95548031,0.109141732,0.095834646,18.79775591,0.301488189,-0.163433071,16.75002362,16.87829921,6.157480315,5.645669291,6.102362205,4.464566929,6.062992126,6.763779528,6.409448819
E06000008,Blackburn with Darwen,119916.6686,35.81362637,0.209461538,0.161769231,33.96315385,1.058384615,0.411681319,12.26484615,31.41718681,3.516483516,3.32967033,3.824175824,2.263736264,3.934065934,8.263736264,3.879120879
E06000009,Blackpool,111288.7234,45.9076383,0.2515,0.207585106,39.02197872,1.670925532,0.856361702,11.84345745,40.33612766,2.861702128,2.531914894,3.106382979,1.393617021,3.085106383,8.436170213,2.553191489
E06000010,"Kingston upon Hull, City of",110364.0359,40.33506627,0.225885542,0.168054217,41.74429518,0.848668675,0.823072289,21.0251747,34.06206627,3.355421687,3.319277108,2.957831325,2.656626506,2.728915663,5.457831325,3.228915663
