series,agegroup,sex,year,Time Code,population
"Population ages 40-44, female",40-44,female,1960,YR1960,1715991
"Population ages 40-44, female",ages 40-44,female,1961,YR1961,1723881
"Population ages 40-44, female",ages 40-44,female,1962,YR1962,1764443
"Population ages 40-44, female",ages 40-44,female,1963,YR1963,1819463
"Population ages 40-44, female",ages 40-44,female,1964,YR1964,1862950
"Population ages 40-44, female",ages 40-44,female,1965,YR1965,1880309
"Population ages 40-44, female",ages 40-44,female,1966,YR1966,1868496
"Population ages 40-44, female",ages 40-44,female,1967,YR1967,1833426
"Population ages 40-44, female",ages 40-44,female,1968,YR1968,1782426
"Population ages 40-44, female",ages 40-44,female,1969,YR1969,1730238
"Population ages 40-44, female",ages 40-44,female,1970,YR1970,1687744
"Population ages 40-44, female",ages 40-44,female,1971,YR1971,1654082
"Population ages 40-44, female",ages 40-44,female,1972,YR1972,1626660
"Population ages 40-44, female",ages 40-44,female,1973,YR1973,1604318
"Population ages 40-44, female",ages 40-44,female,1974,YR1974,1585932
"Population ages 40-44, female",ages 40-44,female,1975,YR1975,1571561
"Population ages 40-44, female",ages 40-44,female,1976,YR1976,1564654
"Population ages 40-44, female",ages 40-44,female,1977,YR1977,1564692
"Population ages 40-44, female",ages 40-44,female,1978,YR1978,1570916
"Population ages 40-44, female",ages 40-44,female,1979,YR1979,1581671
"Population ages 40-44, female",ages 40-44,female,1980,YR1980,1594791
"Population ages 40-44, female",ages 40-44,female,1981,YR1981,1606417
"Population ages 40-44, female",ages 40-44,female,1982,YR1982,1615346
"Population ages 40-44, female",ages 40-44,female,1983,YR1983,1629443
"Population ages 40-44, female",ages 40-44,female,1984,YR1984,1659351
"Population ages 40-44, female",ages 40-44,female,1985,YR1985,1709455
"Population ages 40-44, female",ages 40-44,female,1986,YR1986,1775674
"Population ages 40-44, female",ages 40-44,female,1987,YR1987,1863907
"Population ages 40-44, female",ages 40-44,female,1988,YR1988,1956396
"Population ages 40-44, female",ages 40-44,female,1989,YR1989,2025995
"Population ages 40-44, female",ages 40-44,female,1990,YR1990,2057074
"Population ages 40-44, female",ages 40-44,female,1991,YR1991,2052109
"Population ages 40-44, female",ages 40-44,female,1992,YR1992,2008323
"Population ages 40-44, female",ages 40-44,female,1993,YR1993,1944242
"Population ages 40-44, female",ages 40-44,female,1994,YR1994,1890107
"Population ages 40-44, female",ages 40-44,female,1995,YR1995,1863961
"Population ages 40-44, female",ages 40-44,female,1996,YR1996,1858557
"Population ages 40-44, female",ages 40-44,female,1997,YR1997,1876174
"Population ages 40-44, female",ages 40-44,female,1998,YR1998,1914088
"Population ages 40-44, female",ages 40-44,female,1999,YR1999,1965133
"Population ages 40-44, female",ages 40-44,female,2000,YR2000,2023261
"Population ages 40-44, female",ages 40-44,female,2001,YR2001,2085928
"Population ages 40-44, female",ages 40-44,female,2002,YR2002,2158800
"Population ages 40-44, female",ages 40-44,female,2003,YR2003,2234333
"Population ages 40-44, female",ages 40-44,female,2004,YR2004,2302937
"Population ages 40-44, female",ages 40-44,female,2005,YR2005,2357740
"Population ages 40-44, female",ages 40-44,female,2006,YR2006,2383650
"Population ages 40-44, female",ages 40-44,female,2007,YR2007,2390923
"Population ages 40-44, female",ages 40-44,female,2008,YR2008,2382044
"Population ages 40-44, female",ages 40-44,female,2009,YR2009,2359742
"Population ages 40-44, female",ages 40-44,female,2010,YR2010,2327391
"Population ages 40-44, female",ages 40-44,female,2011,YR2011,2294886
"Population ages 40-44, female",ages 40-44,female,2012,YR2012,2251113
"Population ages 40-44, female",ages 40-44,female,2013,YR2013,2203178
"Population ages 40-44, female",ages 40-44,female,2014,YR2014,2161913
"Population ages 40-44, female",ages 40-44,female,2015,YR2015,2133294
"Population ages 40-44, female",ages 40-44,female,2016,YR2016,2115294
"Population ages 40-44, female",ages 40-44,female,2017,YR2017,2107285
"Population ages 40-44, female",ages 40-44,female,2018,YR2018,2109059
"Population ages 40-44, female",ages 40-44,female,2019,YR2019,2119680
"Population ages 40-44, female",ages 40-44,female,2020,YR2020,2138538
"Population ages 40-44, female",ages 40-44,female,2021,YR2021,2164000
"Population ages 40-44, male",ages 40-44,male,1960,YR1960,1658617
"Population ages 40-44, male",ages 40-44,male,1961,YR1961,1673088
"Population ages 40-44, male",ages 40-44,male,1962,YR1962,1719962
"Population ages 40-44, male",ages 40-44,male,1963,YR1963,1780592
"Population ages 40-44, male",ages 40-44,male,1964,YR1964,1828729
"Population ages 40-44, male",ages 40-44,male,1965,YR1965,1850140
