country_name,country_code,year,series,population,,
United Kingdom,GBR,1960,Age 0-14,12133551,,
United Kingdom,GBR,1961,Age 0-14,12299220,,
United Kingdom,GBR,1962,Age 0-14,12407100,,
United Kingdom,GBR,1963,Age 0-14,12468457,,
United Kingdom,GBR,1964,Age 0-14,12542544,,
United Kingdom,GBR,1965,Age 0-14,12664101,,
United Kingdom,GBR,1966,Age 0-14,12853460,,
United Kingdom,GBR,1967,Age 0-14,13032783,,
United Kingdom,GBR,1968,Age 0-14,13201157,,
United Kingdom,GBR,1969,Age 0-14,13343284,,
United Kingdom,GBR,1970,Age 0-14,13451800,,
United Kingdom,GBR,1971,Age 0-14,13503556,,
United Kingdom,GBR,1972,Age 0-14,13525349,,
United Kingdom,GBR,1973,Age 0-14,13491466,,
United Kingdom,GBR,1974,Age 0-14,13386121,,
United Kingdom,GBR,1975,Age 0-14,13212419,,
United Kingdom,GBR,1976,Age 0-14,12986814,,
United Kingdom,GBR,1977,Age 0-14,12720479,,
United Kingdom,GBR,1978,Age 0-14,12425031,,
United Kingdom,GBR,1979,Age 0-14,12126425,,
United Kingdom,GBR,1980,Age 0-14,11838533,,
United Kingdom,GBR,1981,Age 0-14,11575587,,
United Kingdom,GBR,1982,Age 0-14,11329711,,
United Kingdom,GBR,1983,Age 0-14,11121933,,
United Kingdom,GBR,1984,Age 0-14,10957654,,
United Kingdom,GBR,1985,Age 0-14,10831087,,
United Kingdom,GBR,1986,Age 0-14,10797527,,
United Kingdom,GBR,1987,Age 0-14,10767882,,
United Kingdom,GBR,1988,Age 0-14,10759649,,
United Kingdom,GBR,1989,Age 0-14,10789419,,
United Kingdom,GBR,1990,Age 0-14,10857602,,
United Kingdom,GBR,1991,Age 0-14,10922197,,
United Kingdom,GBR,1992,Age 0-14,11015255,,
United Kingdom,GBR,1993,Age 0-14,11122231,,
United Kingdom,GBR,1994,Age 0-14,11220677,,
United Kingdom,GBR,1995,Age 0-14,11292175,,
United Kingdom,GBR,1996,Age 0-14,11313861,,
United Kingdom,GBR,1997,Age 0-14,11309759,,
